11	Elite of Riders / Элита Всадников	Survival и таланты ветки «Всадник» всегда считаются дружественными. Получив урон впервые за ход, всадник и/или скакун могут пройти Survival(P)+0 и уменьшить полученный урон на числ	packs-src\traits\Элитные_архетипы_Эльдар\Воин_Курноуса\Elite_of_Riders___Элита_Всадников_kYuWTFjmEqIVPjij.json
12	Unbreakable Bond / Нерушимая Связь	Персонаж может обмениваться приказами со своим скакуном без физического общения. Тратя очко судьбы, может пройти тест WP+10 и передать эффект на скакуна; может тратить свои очки су	packs-src\traits\Элитные_архетипы_Эльдар\Воин_Курноуса\Unbreakable_Bond___Нерушимая_Связь_3Gl2KgS5lnlshvaS.json
13	Eternal Oath / Вечная Клятва	Персонаж скован данной им клятвой не вмешиваться во внутренние конфликты племён и домов; нарушение клятвы лишает всех бонусов элитного архетипа. Автоматически проходит социальные т	packs-src\traits\Элитные_архетипы_Эльдар\Воин_Троп\Eternal_Oath___Вечная_Клятва_cNi4PNGYIo1PuKTT.json
14	Selfless Warrior / Самоотверженный Воин	Сражаясь бок о бок с союзниками или защищая святыни эльдарского пантеона, персонаж наносит +WS.b рукопашного урона и получает бонус +3×WS.b к тестам Парирования. При попытке обезор	packs-src\traits\Элитные_архетипы_Эльдар\Воин_Троп\Selfless_Warrior___Самоотверженный_Воин_61UWXrUBibfMo8cx.json
15	The Blade of Asuryan / Клинок Азуриана	Персонаж получает +1 к базовому Психическому Рейтингу (PR). Он может применять любые психосилы на своё психосиловое оружие, запирая в нём эффект (в т.ч. урон) по обычным правилам м	packs-src\traits\Элитные_архетипы_Эльдар\Высший_Варлок\The_Blade_of_Asuryan___Клинок_Азуриана_3OTdj3zakAQLjprL.json
16	The Blade of Vaul / Клинок Ваула	Когда на персонажа накладывают любую психосилу или он входит в её ауру, он может пройти тест Parry+10+(5×бPR) со штрафами (−10 за Редкую Дисциплину, на которую нет фокуса; −10 за Б	packs-src\traits\Элитные_архетипы_Эльдар\Высший_Варлок\The_Blade_of_Vaul___Клинок_Ваула_VpR8yMIyhz3kX9XC.json
17	The Rhythm of the Soul / Ритм Души	Персонаж получает +1 к базовому Психическому Рейтингу (PR). Все психокостяные конструкты, которые подчиняются персонажу или психически связаны с ним, получают +I.b персонажа ко все	packs-src\traits\Элитные_архетипы_Эльдар\Высший_Духовидец\The_Rhythm_of_the_Soul___Ритм_Души_3qfZlZ9J5dzIYwFx.json
18	The Sorrow of the Hearer / Горе Слышащего	Персонаж получает штраф −10 на любые социальные тесты, направленные на общение с кем угодно, кроме психокостяных конструктов и следующих Пути Скорби, и бонус +20 на социальные тест	packs-src\traits\Элитные_архетипы_Эльдар\Высший_Духовидец\The_Sorrow_of_the_Hearer___Горе_Слышащег_G8hWcJDKdnqX4qoR.json
19	An Inescapable Event / Неизбежное Событие	Персонаж получает +2 к базовому Психическому Рейтингу (PR). Все важные и именные персонажи в начале боя, где участвует персонаж, получают +1 Очко Судьбы (персонаж восстанавливает э	packs-src\traits\Элитные_архетипы_Эльдар\Высший_Провидец\An_Inescapable_Event___Неизбежное_Событи_NmGYj9cLnKCW73Ws.json
20	The Predicted Event / Предсказанное Событие	Перед началом битвы персонаж получает P.b+½ (окр.▲) WP.b Успехов, которые может распределять на любые не-атакующие действия и психосилы, а также передавать союзникам без трейта Blu	packs-src\traits\Элитные_архетипы_Эльдар\Высший_Провидец\The_Predicted_Event___Предсказанное_Собы_vL94k9MvPAujTjxw.json
21	Nature's Gift / Дар Природы	Под ногами персонажа независимо от местности всегда растёт новая жизнь — цветы, растения, корни (погибают при отходе на I.b метров на непригодной для них местности, остаются на под	packs-src\traits\Элитные_архетипы_Эльдар\Избранный_Иши\Nature_s_Gift___Дар_Природы_kKfw9Kuv7m8pqTTU.json
22	Nurgle's Favorite / Любимец Нургла	Персонаж — цель Древнего Рока Нургла (и его Демонов/Последователей); Демоны Слаанеш могут вмешиваться в дела Нургла, чтобы не отдавать персонажа противоположному богу. Персонаж игн	packs-src\traits\Элитные_архетипы_Эльдар\Избранный_Иши\Nurgle_s_Favorite___Любимец_Нургла_shzuURSQHLDGN8JG.json
23	The Healing Hand / Длань Исцеляющая	Первая помощь персонажа длится 2 хода и может восстановить число ран независимо от ситуации или состояния излечиваемого; персонаж считает все цели легко ранеными и игнорирует огран	packs-src\traits\Элитные_архетипы_Эльдар\Избранный_Иши\The_Healing_Hand___Длань_Исцеляющая_WwfzXrUjsG8xfVi7.json
24	Death Incarnate / Смерть Воплощённая	Персонаж в начале боя получает +WP.b Мёртвого Могущества.	packs-src\traits\Элитные_архетипы_Эльдар\Клинковое_Воинство\Death_Incarnate___Смерть_Воплощ_нная_79yP4rqJcEr6EWVp.json
25	Devour the Soul / Пожрать Душу	Когда персонаж наносит непоглощённый урон цели через Выжигание Души, он может пройти тест WP+0 и получить Мёртвое Могущество, равное числу успехов. Цель, погибшая от Выжигания Души	packs-src\traits\Элитные_архетипы_Эльдар\Клинковое_Воинство\Devour_the_Soul___Пожрать_Душу_qU8LUoXXmphYi7Yo.json
26	A New Body / Новое Тело	За каждый бионический имплант эльдар из психокости, установленный в теле персонажа, он получает +1 к любой характеристике на своё усмотрение (не более +5 к одной характеристике). Л	packs-src\traits\Элитные_архетипы_Эльдар\Кузнец_Ваула\A_New_Body___Новое_Тело_11jnU0ETV7zQ5Tm5.json
27	The Creator of Bodies / Творец Тел	Персонаж сокращает вдвое длительность крафта всех бионических имплантов из психокости и психопластика и может одновременно создавать до 4 имплантов, используя материал только для о	packs-src\traits\Элитные_архетипы_Эльдар\Кузнец_Ваула\The_Creator_of_Bodies___Творец_Тел_oIPG36LnMvIzcZ3Q.json
28	Tzeentch's Favorite / Любимец Тзинча	Персонаж — цель Древнего Рока Тзинча (и его Демонов/Последователей); Демоны Слаанеш могут вмешиваться в дела Тзинча, чтобы не отдавать персонажа противоположному богу. Персонаж игн	packs-src\traits\Элитные_архетипы_Эльдар\Кузнец_Ваула\Tzeentch_s_Favorite___Любимец_Тзинча_jUXlQ2evz6Q0EvIY.json
29	Lord of the Exodites / Повелитель Экзодитов	Персонаж создаёт ауру радиусом F.b×2, внутри которой союзники получают +30 к тестам Морали и раз в раунд могут перебрасывать провалы Морали. За Полное действие может вывести до F.b	packs-src\traits\Элитные_архетипы_Эльдар\Лесной_Владыка\Lord_of_the_Exodites___Повелитель_Экзоди_RHDKeAXBb29wY5OG.json
30	Weapons of the Noble Ones / Оружие Благородных	Используя копьё как основное рукопашное оружие, персонаж перед боем может обратиться к Духу Курноуса — копьё становится Оружием Наследия (Inf 60, Наследие Крови, характеры Терпение	packs-src\traits\Элитные_архетипы_Эльдар\Лесной_Владыка\Weapons_of_the_Noble_Ones___Оружие_Благо_4DEs0iBMVkBanlI7.json
31	Death Is Not The End / Смерть – Это Не Конец	В конце хода персонажа все цели, подвергшиеся его стрелковым атакам, должны пройти тест против Страха персонажа, получая штраф −20, если персонаж кого-либо убил во время стрельбы. 	packs-src\traits\Элитные_архетипы_Эльдар\Маргорах\Death_Is_Not_The_End___Смерть___Это_Не_К_GmE7ZHYgKmTPsVif.json
32	Artisan Item / Ремесленный Предмет	Покупая таланты этого элитного архетипа, персонаж получает возможность создавать Ремесленные Предметы — Банк успехов ×36, качество на ступень выше Best.Q (Arts.Q), неуничтожимые, н	packs-src\traits\Элитные_архетипы_Эльдар\Мастер_Ремесленник\Artisan_Item___Ремесленный_Предмет_05hXxWAYetqcXRZ2.json
33	The Master Artisan / Мастер Ремесленник	Создавая Comm.Q вещь, персонаж создаёт I.b вещей вместо одной; создавая Good.Q вещь — создаёт две (не распространяется на вещи R3 и выше). Персонаж перебрасывает критические Провал	packs-src\traits\Элитные_архетипы_Эльдар\Мастер_Ремесленник\The_Master_Artisan___Мастер_Ремесленник_QuzFb6uxswAWpdF3.json
34	The Beast of A Hundred Hunts / Зверь Сотен Охот	Раз в раунд за Полное действие персонаж может пройти Survival(P)-30 и принять один из звериных обликов Курноуса (Сокол — крылья, Flyer (A.b+P.b), Unnatural P (+4), когти; Медведь —	packs-src\traits\Элитные_архетипы_Эльдар\Охотник_Курноуса\The_Beast_of_A_Hundred_Hunts___Зверь_Сот_3rg4MnUdaVYYnOus.json
35	The Divine Hunt / Священная Охота	Лук и дротики персонажа теряют свойство Primitive, получают Very Reliable и Razor Shape, теряют максимальный лимит натяжения и считают минимальный лимит равным S.b Охотника Курноус	packs-src\traits\Элитные_архетипы_Эльдар\Охотник_Курноуса\The_Divine_Hunt___Священная_Охота_O5RhA9eDZ0fgBHdn.json
36	Bloody Hands / Кровавые Руки	Персонаж постоянно имеет 1 Обескровливание, а получая новое — удваивает его. Все тесты на кровотечение дают обескровливание на результатах 1-8. Максимальный уровень обескровливания	packs-src\traits\Элитные_архетипы_Эльдар\Принц_Кхейна\Bloody_Hands___Кровавые_Руки_TqJJKEjf4amq5aot.json
37	Khorne's Favorite / Любимец Кхорна	Персонаж — цель Древнего Рока Кхорна (и его Демонов/Последователей); Демоны Слаанеш могут вмешиваться в дела Кхорна, чтобы не отдавать персонажа противоположному богу. Персонаж игн	packs-src\traits\Элитные_архетипы_Эльдар\Принц_Кхейна\Khorne_s_Favorite___Любимец_Кхорна_DWML08uYSaOfqxlt.json
38	Thirst for War / Жажда Войны	Персонаж перманентно находится в Ярости, но может спокойно разговаривать и отличать врагов от союзников. Не считает кровь и трупы трудным ландшафтом, не получает штрафов от брызг к	packs-src\traits\Элитные_архетипы_Эльдар\Принц_Кхейна\Thirst_for_War___Жажда_Войны_4jRz5bNNhWFle5dT.json
39	Personal Sentinels / Личная Стража	Персонаж может вместо своей инициативы использовать инициативу того, кому он присягнул, действуя сразу после его хода. Он может двигаться вместе со своим повелителем, не тратя на э	packs-src\traits\Элитные_архетипы_Эльдар\Присягнувшие_Клинки\Personal_Sentinels___Личная_Стража_KKWegp5SgkzQ4Amx.json
40	Yirraith kil Yirraith / Око за Око	Персонаж получает +10 на все тесты против противников, атаковавших того, кому он дал клятву (неважно, нанеся урон или нет). Если персонаж совершает атаку с базой Полная Атака или о	packs-src\traits\Элитные_архетипы_Эльдар\Присягнувшие_Клинки\Yirraith_kil_Yirraith___Око_за_Око_yMBOm9APXxCUN010.json
41	Guerrilla / Партизан	В расчёте нарративного движения персонаж удваивает свой SPD, утраивая его на территории сложного ландшафта (лес, тропики, арктика, горы и подобное). Он автоматически проходит все т	packs-src\traits\Элитные_архетипы_Эльдар\Следопыт\Guerrilla___Партизан_hcIjqQpXiyGoJlBu.json
42	Raibh Ueserant / Ночь Наступает	Пройдя тест Tech-Use(P)−10, Следопыт может замаскировать свой Лазерный или Сюрикенный выстрел под имперский аналог, не раскрывая эльдарскую природу выстрела. Персонаж получает +½ P	packs-src\traits\Элитные_архетипы_Эльдар\Следопыт\Raibh_Ueserant___Ночь_Наступает_iQcBy8acMcfUyxUo.json
43	Omnipresent / Вездесущий	За Полное действие в P.b метрах от себя персонаж может создать свою нефизичную полуфазовую копию (P.b ран и поглощения, характеристики и навыки равны персонажу; тест Awareness(P)-1	packs-src\traits\Элитные_архетипы_Эльдар\Странник_Хоека\Omnipresent___Вездесущий_T5BXqgAl91UH1Upn.json
44	The Wanderer's Mantle / Мантия Странника	Другие существа не могут определять эмоции персонажа и проваливают любые тесты на их определение. Пока персонаж не атакует или пока не начнётся третий раунд, все атаки по нему полу	packs-src\traits\Элитные_архетипы_Эльдар\Странник_Хоека\The_Wanderer_s_Mantle___Мантия_Странника_NlE4i8QsmsAtPif7.json
45	Carving On Bones / Резьба На Костях	Персонаж может создавать Фетиши, используя только кости противника и навык Trade (Jeweler); вместо Cor/Inf проходит соответствующие тесты через W. Может создавать Рунические Вязи и	packs-src\traits\Элитные_архетипы_Эльдар\Танцор_Войны\Carving_On_Bones___Резьба_На_Костях_oYwEfbv9jaOpQVQP.json
46	Worshippers of Dance / Почитатели Танца	Персонаж совершает Полудвижение на SPD×2, Полное Движение на SPD×3, Натиск на SPD×6 и Бег на SPD×12. Получает +1 Реакцию и может совершать неограниченное количество атак и контрата	packs-src\traits\Элитные_архетипы_Эльдар\Танцор_Войны\Worshippers_of_Dance___Почитатели_Танца_zvrmidxuc39LFSIg.json
47	A Valuable Asset / Ценный Актив	В свой ход персонаж может отдавать свои очки судьбы подчинённым, находящимся в радиусе F метров от него, выбирая до F.b подчинённых (вне или во время битвы). Такие подчинённые полу	packs-src\traits\Элитные_архетипы_Эльдар\Феларх\A_Valuable_Asset___Ценный_Актив_UOXKltVAE0fu6ssH.json
48	Field Experience / Полевой Опыт	Феларх может обучать до F.b×5 подчинённых, если их Влияние не выше его собственного. Если подчинённые заканчивают бой под его командованием — это засчитывается за полную сессию обу	packs-src\traits\Элитные_архетипы_Эльдар\Феларх\Field_Experience___Полевой_Опыт_mGZCQtN1ly8TI7Ei.json
49	The Wrath of Kaela Mensha Khaine / Гнев Каэла Менша Кхейна	Персонаж получает неизлечимое ментальное расстройство Ненависть на 3 (не опускается ниже 3), распространяющееся на всех, кого персонаж может считать врагами его родного мира-корабл	packs-src\traits\Элитные_архетипы_Эльдар\Экзарх_Аспекта\The_Wrath_of_Kaela_Mensha_Khaine___Гнев__dVyHAGcKbIjr4kXm.json
50	Unnatural Characteristic (2) / Сверхъест. Характеристика (выбор)	+2 к Бонусу одной из трёх характеристик, выбранных при получении Экзарха Аспекта (обычно WS, BS или A — конкретный выбор фиксируется на листе персонажа).	packs-src\traits\Элитные_архетипы_Эльдар\Экзарх_Аспекта\Unnatural_Characteristic__2____Сверхъест_y0DdamVTnPnw3UmU.json
51	Warlord of Kaela Mensha Khaine / Полководец Каэла Менша Кхейна	Персонаж получает +10 на все тесты Командования теми, кто относится к тому же аспекту, что и он. Когда кто-то из его аспекта в радиусе W метров проваливает тест, связанный с аспект	packs-src\traits\Элитные_архетипы_Эльдар\Экзарх_Аспекта\Warlord_of_Kaela_Mensha_Khaine___Полково_SHrn4K2t46oL50sx.json
52	The Power of Cegorach / Сила Цегораха	Персонаж может в любой момент добровольно перейти на силу Цегораха, снизив свой базовый PR на −5, но взамен игнорируя эффекты пси-капюшона, нуль-полей и иных методов, урезающих пси	packs-src\traits\Элитные_архетипы_Эльдар\Эсдаинн\The_Power_of_Cegorach___Сила_Цегораха_7r0HhIq2N1GZuDXx.json
53	Twilight Puppeteer / Кукловод Сумерек	Персонаж может проходить любые проверки Fel через WP (не получая бонусов от Unnatural WP), но вынужден проходить тесты Command тоже через Fel, если командует кем-либо, кроме других	packs-src\traits\Элитные_архетипы_Эльдар\Эсдаинн\Twilight_Puppeteer___Кукловод_Сумерек_xNP7M5rKw86Q8wYF.json
